id;date;check_in_time;departure_time;user_data_id
1;2025-09-21;2025-09-21T11:37:49;2025-09-21T12:02:27;1
2;2025-09-21;2025-09-21T12:23:44;2025-09-21T03:24:44;2
3;2025-09-21;2025-09-22T01:30:18;2025-09-21T20:17:39;1
4;2025-09-21;2025-09-21T05:05:32;2025-09-21T21:38:54;1
5;2025-09-21;2025-09-21T13:50:16;2025-09-21T20:33:54;1
6;2025-09-21;2025-09-21T04:46:23;2025-09-21T18:08:24;2
7;2025-09-21;2025-09-21T03:38:07;2025-09-21T15:03:53;1
8;2025-09-21;2025-09-21T04:02:51;2025-09-21T13:02:47;2
9;2025-09-21;2025-09-21T13:37:19;2025-09-21T04:44:20;1
10;2025-09-21;2025-09-21T14:38:09;2025-09-21T10:01:38;2
